"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ISOC1__1797",-1.86586117830916,27.8706368707347,-27.1784037620421,3.2518456794034e-15,7.0825198897406e-12,24.66799183517
"ITGB1__680",1.58791909810424,27.8370081952594,17.3783668116763,4.30566060702695e-12,3.88790697094971e-09,18.0247544442875
"FLNB__557",2.69340867419814,28.2118406750476,16.9054298898201,6.65518872832378e-12,3.88790697094971e-09,17.6023463652042
"ITGA1__1208",3.96004027759171,25.2589043626403,16.8301079419361,7.14032501551829e-12,3.88790697094971e-09,17.5339327927344
"OCIAD2__1595",1.46098085766026,25.7857444214343,16.3006174810564,1.18044164038452e-11,4.4268011870342e-09,17.0438718749728
"NT5E__876",2.59757343646104,24.2549153446748,16.2668450101419,1.21950445923807e-11,4.4268011870342e-09,17.0120607697503
"CRABP2__944",2.51654926821531,28.8988001630828,15.7382305014985,2.04620031828325e-11,6.36660613317275e-09,16.5051900277691
"PLAT__650",2.08970888736015,24.0969469425363,15.3602615483776,2.99073602584084e-11,8.1422788303517e-09,16.1321277448147
"HMGA1__825",2.35825621711638,27.7892586132905,15.1118238784407,3.85537977449332e-11,9.33001905427384e-09,15.8818984674723
"MSN__913",0.990678057087607,27.1272466290295,14.9443150746513,4.58485580587307e-11,9.98581594519156e-09,15.7108763944041
"GNG12__2050",3.25860121920772,25.1402705609501,14.7401005204642,5.67640652515391e-11,1.12392849198047e-08,15.4998150179988
"MCM7__987",-0.986098346573961,25.4679454508628,-13.8769384374828,1.44131588283115e-10,2.61598832733853e-08,14.5752763856801
"MCM2__1109",-1.03316019297083,25.9393578017709,-13.0232185762495,3.80744870204952e-10,5.94168621927507e-08,13.6057432508409
"NES__1087",1.6085638372985,27.7179165461616,13.0205673067606,3.81926570568646e-10,5.94168621927507e-08,13.602641784564
"PSAP__703",1.45210032556827,28.0752783778369,12.845646414533,4.69114041376136e-10,6.39682331819558e-08,13.3967350442341
"RDH10__1685",4.3320427911508,26.3405907802258,12.8441894181311,4.6992274146524e-10,6.39682331819558e-08,13.395009266462
"TGM2__879",4.94152646587098,26.8327530262914,12.7577000589694,5.20663111014369e-10,6.6706132693488e-08,13.2922454466873
"HLA-A__102",1.601888810367,25.9225824423413,12.521352835124,6.91075192916003e-10,8.36200983428363e-08,13.0081865390042
"MVP__1505",2.71525673871295,25.0927154729675,12.221334130075,9.962966733184e-10,1.14207060762499e-07,12.6406203225246
"CYP26B1__1993",1.93473665428374,24.2892754937539,11.8001106081603,1.685970446002e-09,1.83602181569618e-07,12.1109249771388
"GTF2I__1329",-0.964916045379695,26.1104665023922,-11.4856592622469,2.52169677267005e-09,2.61535979565494e-07,11.7047273837267
"PPIB__891",0.760973878948306,29.2334617188775,11.2436613369859,3.45814584571085e-09,3.25802615692433e-07,11.3856336055974
"MCM5__986",-0.90357234019033,26.908011113282,-11.2233622439263,3.55183255990297e-09,3.25802615692433e-07,11.3586057844475
"MYDGF__411",1.19739842167659,27.0148508565487,11.2152300552947,3.59011146768521e-09,3.25802615692433e-07,11.3477664657791
"AKAP12__1371",3.52052333972192,27.2926299180476,11.1053289514256,4.15224169580057e-09,3.5584732124555e-07,11.200633176968
"RPA1__927",-0.688267371241885,25.2545941661431,-11.0881886833318,4.24794782019482e-09,3.5584732124555e-07,11.1775770003787
"NPC2__254",3.86171432310015,27.0999679086445,11.0417207705888,4.51927632686937e-09,3.64554957034129e-07,11.1149217804018
"ICAM1__674",2.94273374637135,24.7141731893826,10.8298299591918,6.00902229449764e-09,4.67416091336281e-07,10.8264303714803
"CALR__929",0.792297976666308,29.5806729596048,10.6824769228803,7.34430751996507e-09,5.49388590536211e-07,10.6230739327633
"DUT__985",-1.06273001345447,26.7088162632882,-10.660640676826,7.56733595779905e-09,5.49388590536211e-07,10.592745204975
"MCM6__1495",-0.990735769164591,25.5534334221445,-10.4474485636812,1.01592007061998e-08,6.95725496658395e-07,10.2939820729023
"VAT1L__1967",1.07264502278028,25.0492816374195,10.4331625271306,1.03633789196254e-08,6.95725496658395e-07,10.2737880964339
"IDH1__579",0.877319691793627,26.4983760421226,10.420953270706,1.05412954039151e-08,6.95725496658395e-07,10.256512300984
"ASL__661",2.33021327136436,24.1305360794462,10.3528883191951,1.15938097426981e-08,7.42685812341074e-07,10.1599064865591
"PXN__115",2.07133334195277,24.1738102551501,10.2199036426339,1.39820102006962e-08,8.61761202621752e-07,9.96970194584167
