protein,pvalue,log2FC,adj_pvalue
SERPINB6,0.0539928056799985,0.11667959829048158,0.1268568832481518
HDGFRP3,0.4583777259996731,-0.1677196435419006,0.5865726716964089
DNPEP,0.06075118294973926,0.560706776877975,0.1379729681590533
HDLBP,0.31018486844595805,0.07461817507469704,0.44387821516116727
RPS9,0.28444823778304246,-0.11687582484509917,0.41695038053026773
EHD1,0.017936108771398358,0.23033752947199915,0.05670645000955251
YTHDF3,0.9561243651470727,0.022093141702058006,0.9685762173443369
PSMA2,0.16184697777944254,0.13976368706399,0.27517776549853695
BAG6;BAT3,0.7027795035711869,-0.09376087702202085,0.7885902930335111
NUCB2;Nucb2,0.007645013217814794,1.196786795325977,0.03087289074094163
TXNRD1,0.014361742976191715,0.5006836615206183,0.04875006827877923
HMOX2,9.994627213326133e-05,0.47879634577698127,0.0013777403842167289
PYCR2,0.2481989986326902,0.25005118027458195,0.3764466706281332
UHRF1,8.050363610274895e-05,-1.610669132765171,0.0012176174960540779
CTNNBL1,0.15576939952851468,-0.4081630373777472,0.2681942704925731
SPCS2,0.7728138173788496,-0.12856833822747404,0.838241281997577
HNRNPDL,0.00016396247572227646,-0.3997029545357407,0.001972984928857006
GPX1,1.3056334953868096e-06,-0.737024368180812,7.38981626234642e-05
RPS24,0.048646140449225744,-0.16275750876591744,0.11838133396470801
EIF5B,0.39134195746624495,-0.09915502252141195,0.522268862353849
DDC,0.0012895826513546274,-1.3029796398889353,0.00830174357373706
MTHFD1L,0.4370653345188891,0.8056546424182649,0.565950236969168
CLTC,0.14647352836979632,0.16955628267188771,0.25768929304476285
SH3GLB1,0.00569215307389598,0.391503080780776,0.024787561587930898
PSMD1,0.18104938341637017,0.08814672978892091,0.2978289706048748
LLGL1,0.08610078769060989,-0.35112666132895853,0.1752593603646246
NCAM1,0.29459111723188647,-0.1816987704009989,0.42717673324304173
GMPR2,0.25287497486959004,0.4959610520190054,0.38168362986037846
TPM3,0.0009607473514762988,0.450184715192659,0.0068288793379780105
NDUFA10,0.11988858842964534,-0.3507318487514084,0.22452050352516553
RPL17;RPL17-C18orf32,0.0447827237333315,-0.1215461565769651,0.11121638801732728
VTA1,0.4137012077913797,-0.3579979628240295,0.5434506818875905
AP2M1,0.04478098133113208,0.19560683999578998,0.11121638801732728
UBE2D3;UBE2D2,0.2141170604541777,-0.11665765157973951,0.3365111879435994
FAM21A,0.7340752673633789,-0.09909844418826808,0.8103476595628176
PTGES3,0.010176036789141855,-0.23751369736285355,0.038282574988987725
RAVER1,0.01765604774151823,-0.8065633325246573,0.056220573071676466
DHPS,0.4613207375569532,0.35119197991988216,0.5889546110193693
