protein,pvalue,log2FC,adj_pvalue
SERPINB6,0.0642096143911992,0.1433748494898346,0.19504677844355905
HDGFRP3,0.25785349033040167,-0.803571958011986,0.4603318868357498
DNPEP,0.016944171625392437,0.7738957292138835,0.09158321093956806
HDLBP,0.008075598451217136,0.2574956017929573,0.05952333150826469
RPS9,0.7246814021467713,-0.04944283379339964,0.8463035355901706
EHD1,0.010853177585176727,0.41512239957937425,0.0716309720621664
YTHDF3,0.9422427183119951,0.03978801065825621,0.971687803259245
PSMA2,0.3728459081958626,0.10540002526726866,0.5763366842090765
BAG6;BAT3,0.6776334080396753,0.10247835939992456,0.8165379436257291
NUCB2;Nucb2,0.3193095187425594,0.5125241843921344,0.5221142130790499
TXNRD1,0.01868450533038111,0.4945488560346192,0.0980598858061929
HMOX2,0.0005317660003378669,0.7241905880213828,0.01034094954228459
PYCR2,0.9079221587362872,0.017303089338088995,0.9492418930411273
UHRF1,0.0006198688895509264,-1.630599236155799,0.011441308825778963
CTNNBL1,0.08768221431473425,-0.17141488593199128,0.23545412254573947
SPCS2,0.7224927252213266,0.08872026299701474,0.8460156750172309
HNRNPDL,0.042016775773243795,-0.3073021121605528,0.15201418211648668
GPX1,2.7187857318044073e-05,-0.6045370711026479,0.002193153823655555
RPS24,0.10037793465435159,-0.28220270489873656,0.2548055264302771
EIF5B,0.6781988705321138,0.06071981242435598,0.8165379436257291
DDC,0.028367928353669285,-0.8623684772809135,0.12043927476470118
MTHFD1L,0.5470188600919339,-0.7265966166925715,0.7247001686619416
CLTC,0.2131180436044948,0.14961150581291704,0.40945270346047397
SH3GLB1,0.007267009626403897,0.3654149409683498,0.05612605307201308
PSMD1,0.2455090573585774,0.1177273965140131,0.4474633698133737
LLGL1,0.8578292261013702,-0.02833245024953257,0.9236311009806086
NCAM1,0.7902521148566888,0.039693743729817044,0.8873057345001327
GMPR2,0.06653413372098364,0.7135018460269009,0.1979663159075169
TPM3,0.008853595825728929,0.3945189092468091,0.062404956985234974
NDUFA10,0.28561684479083593,-0.4563785777346254,0.4909814427422578
RPL17;RPL17-C18orf32,0.770939215184534,-0.023453982789625627,0.8754460952408316
VTA1,0.32455965343723037,-0.2022651962022124,0.5255694611050467
AP2M1,0.9992662039476979,-0.0003227050021195055,0.9993265315740866
UBE2D3;UBE2D2,0.3723158569457934,0.06441827385847887,0.5763366842090765
FAM21A,0.391507877141151,-0.21720014576774815,0.5944492062821388
PTGES3,0.055377313241219514,-0.16403428358364636,0.1804233275874599
RAVER1,0.09249577227930258,-0.39960526277135244,0.2432906268345542
DHPS,0.0888423618966104,0.7293044115244456,0.23742167387830365
SBDS,0.015638872871187058,0.3090394668963512,0.08816219264325029
RBM26,0.23621041551439265,-0.2195734524181603,0.43635817217162615
SLC4A1AP,0.30582314588437,-0.345528708928569,0.5100174668730152
PBX1,0.31046990196285806,0.4350343607463074,0.5146144950343264
NOMO2;NOMO1;NOMO3,0.18721301221321057,0.5752149372977584,0.3768483739374978
SEPT8,0.31655268427169775,-0.36974998020613015,0.5200301571635082
STAU1,0.32213532619788565,0.09358188314802618,0.5243197410380827
TMSB15A;TMSB15B,0.08465408298254093,-2.0125369480863533,0.23042463797124962
LYPLA1,0.02673857438815221,0.2148590439060456,0.1178753646971549
PSME2,0.016479920681741384,0.4253916899614012,0.09109966305795111
MRPL45,0.5940217215467573,0.395696432244506,0.7561538921851767
SPAG9,0.42231788154863226,0.15468865365214768,0.626145912874691
PSMC6,0.6053126145605624,0.047739589008511274,0.7661731565820572
RNF114,0.30252784070946415,-0.5247642498625034,0.5072406751849214
AAK1,0.8289701265319808,-0.06882269112311334,0.9076079518857464
C21orf33,0.019708990272658072,0.2570359154820885,0.10029481498562916
RER1,0.8709266447193491,-0.058865476192277555,0.929409445318669
MYEF2,0.9945575094371051,0.0018709315896927592,0.9977642816923146
APP,0.03134254998468461,0.9392159882474438,0.12588750276273017
SNX6,0.310305753742064,-0.48135631109264665,0.5146144950343264
PCMT1,0.21202130374780337,0.11411795479902764,0.4090189544399608
ABLIM1,0.2492998008068465,-0.5417732948875837,0.4513507615605251
MYO6,0.015665182990329596,0.95167998907257,0.08816219264325029
NOLC1,0.049428851400253146,-0.2916616171353965,0.16953706826732498
SNRPC,0.7256594898897988,-0.04600682946108847,0.8468451206978901
