Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),14/599,0.00010278695988326692,0.0010758368467781,0,0,3.575273305505864,32.831205847014644,SYNPO2;ARPC1B;MVP;SDCBP;TUBB6;MYO6;ARHGDIB;DCX;FLNB;TAX1BP3;TAGLN3;PDLIM5;NES;PDLIM4,GO_Cellular_Component_2023
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),12/288,1.1231858065351485e-06,0.0014163373020408,0,0,6.498838367076004,89.02980575645817,YY1;TOP2A;DUT;NT5E;RRM1;MSH2;CBS;UBE2T;MCM3;MCM4;TYMS;MCM2,GO_Biological_Process_2023
KEGG_2021_Human,Regulation of actin cytoskeleton,8/218,0.0001766942736550791,0.0050736498578101,0,0,5.544126984126984,47.90729794778829,ITGB1;ITGA3;ITGA2;ARPC1B;PXN;ITGA1;ITGAV;GNG12,KEGG_2021_Human
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),8/327,0.0024729041922243,0.0184879027704395,0,0,3.629490305352374,21.78551480694328,SYNPO2;ARPC1B;MYO6;COTL1;FLNB;TAX1BP3;TAGLN3;PDLIM5,GO_Cellular_Component_2023
KEGG_2021_Human,Serotonergic synapse,5/113,0.001317205939991,0.0189113138527291,0,0,6.625402576489533,43.94127653357784,APP;DDC;GNG2;PRKCA;GNG12,KEGG_2021_Human
Reactome_2022,Axon Guidance R-HSA-422475,11/519,0.0012840692235961,0.0240361707791901,0,0,3.174048556430446,21.131930245614654,ITGB1;SDCBP;ITGA2;ARPC1B;ITGA1;DCX;PRKCA;NRCAM;ITGAV;LAMC1;EPHA2,Reactome_2022
Reactome_2022,Glucagon Signaling In Metabolic Regulation R-HSA-163359,3/32,0.0015250350706774,0.0276816971919931,0,0,14.651231527093596,95.02404718702884,GNG2;PRKCA;GNG12,Reactome_2022
KEGG_2021_Human,Fluid shear stress and atherosclerosis,5/139,0.0032557313539891,0.031162000102468,0,0,5.332846636383301,30.54301701381377,NQO1;PLAT;ITGAV;SQSTM1;ICAM1,KEGG_2021_Human
Reactome_2022,Smooth Muscle Contraction R-HSA-445355,3/43,0.0035832287206006,0.0420853726203886,0,0,10.61625,59.78531641106525,ANXA2;ITGA1;PXDN,Reactome_2022
GO_Biological_Process_2023,Glucan Metabolic Process (GO:0044042),2/8,0.0013818940005246,0.0449204443143542,0,0,46.9290780141844,308.9951404123348,GBE1;PYGL,GO_Biological_Process_2023
