Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),23/395,8.482764137357871e-15,6.658969847825927e-13,0,0,10.039314516129032,325.2812198031019,ITGB1;MDC1;ITGA3;FBLIM1;SYNPO2;ITGA2;ARPC1B;PXN;ITGA1;FHL1;HMGA1;PLAUR;FHL2;LPP;ICAM1;AKAP12;CAT;FLNB;ITGAV;FLNC;CD44;EPHA2;TGM2,GO_Cellular_Component_2023
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),23/387,5.476517811544434e-15,6.658969847825927e-13,0,0,10.264171245421243,337.0580057574446,ITGB1;MDC1;ITGA3;FBLIM1;SYNPO2;ITGA2;ARPC1B;PXN;ITGA1;FHL1;HMGA1;PLAUR;FHL2;LPP;ICAM1;AKAP12;CAT;FLNB;ITGAV;FLNC;CD44;EPHA2;TGM2,GO_Cellular_Component_2023
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),16/316,1.0355762145279827e-09,5.4195155226964433e-08,0,0,8.212913385826772,169.91128035747863,CTSA;APP;SERPINB1;ANXA2;HEXB;MVP;SERPINE1;PYGL;GNS;SDCBP;NPC2;GLB1;IMPDH1;CAT;COTL1;S100A11,GO_Cellular_Component_2023
GO_Cellular_Component_2023,Nuclear Chromosome (GO:0000228),9/95,2.6430883734960472e-08,1.0374121865971984e-06,0,0,15.440732384588683,269.421211639762,TOP2A;YY1;PBRM1;MCM3;MCM4;NCAPG;NCAPD2;SMC4;MCM2,GO_Cellular_Component_2023
Reactome_2022,Laminin Interactions R-HSA-3000157,6/22,8.162936481826852e-09,4.889598952614284e-06,0,0,54.309306569343065,1011.438161927308,ITGB1;ITGA3;ITGA2;ITGA1;ITGAV;LAMC1,Reactome_2022
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),10/155,1.7264697685735205e-07,5.421115073320854e-06,0,0,10.22141560798548,159.1680568296979,CTSA;SDCBP;LAMP1;ANXA2;NPC2;GLB1;IMPDH1;HEXB;PSAP;GNS,GO_Cellular_Component_2023
GO_Cellular_Component_2023,Azurophil Granule Lumen (GO:0035578),8/89,2.431613858336875e-07,6.362722929314822e-06,0,0,14.46803840877915,220.34157653768648,CTSA;SDCBP;ANXA2;NPC2;GLB1;IMPDH1;HEXB;GNS,GO_Cellular_Component_2023
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,17/468,4.3110596544006273e-08,1.2911623664929876e-05,0,0,5.805476366451976,98.45795908175091,CTSA;SERPINB1;ANXA2;HEXB;PLAUR;HLA-A;PYGL;GNS;SDCBP;LAMP1;NPC2;GLB1;COTL1;ITGAV;S100A11;CD44;CTSB,Reactome_2022
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),20/856,3.0722552053882314e-06,4.823440672459523e-05,0,0,3.699575990975221,46.95908309600812,ACOT9;APP;MVP;PLAUR;LAMC1;PYGL;TYMS;SOD2;GNS;SUMF2;MYDGF;PITRM1;VGF;GLB1;IMPDH1;CAT;COTL1;FDXR;CHGB;CTSB,GO_Cellular_Component_2023
GO_Cellular_Component_2023,Ficolin-1-Rich Granule Lumen (GO:1904813),8/123,2.8915960626025702e-06,4.823440672459523e-05,0,0,10.173011272141707,129.74355357160692,GLB1;IMPDH1;MVP;CAT;COTL1;PYGL;GNS;CTSB,GO_Cellular_Component_2023
