"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ISOC1__1797",-1.48246529248955,27.8706368707347,-21.5938038429024,1.34679326945129e-13,2.30345773217929e-10,21.0941849566811
"CRABP2__944",3.35720696037153,28.8988001630828,20.9956139746205,2.11520452909026e-13,2.30345773217929e-10,20.6915840621857
"FLNB__557",2.66380372021455,28.2118406750476,16.7196116444289,7.92077818834868e-12,5.75048496474114e-09,17.3509582806364
"GNG12__2050",3.50266587174997,25.1402705609501,15.8441133376077,1.84246010523242e-11,1.00321952729905e-08,16.5485850142507
"ITGA1__1208",3.56264054482472,25.2589043626403,15.1411654237473,3.74075647671511e-11,1.6294735212571e-08,15.8696509964355
"CYP26B1__1993",2.1253513201212,24.2892754937539,12.9626844062219,4.08713301735273e-10,1.43570287789516e-07,13.5432454366081
"OCIAD2__1595",1.15257398206648,25.7857444214343,12.8596261215714,4.61428840462172e-10,1.43570287789516e-07,13.4239831324926
"ITGB1__680",1.14383994071603,27.8370081952594,12.5183141177286,6.93615323967853e-10,1.88836771950248e-07,13.0225157726529
"DUT__985",-1.21469081357004,26.7088162632882,-12.1850160746086,1.04191954255413e-09,2.21070450734642e-07,12.6205878481316
"TGM2__879",4.63808549133786,26.8327530262914,11.9742965974213,1.35391749338294e-09,2.45736025049003e-07,12.3612796850551
"RDH10__1685",4.0159907515698,26.3405907802258,11.9071182814707,1.47298318213507e-09,2.46781336206937e-07,12.2777460929647
"HLA-A__102",1.51561564116799,25.9225824423413,11.8469884318308,1.58892526619486e-09,2.47191373555172e-07,12.2026180844156
"MCM6__1495",-1.07523338499561,25.5534334221445,-11.3384878524844,3.05370841616286e-09,4.15686058150169e-07,11.5534188940819
"CDK1;CDC2__684",-1.10486079513567,26.3353451257944,-10.7815026748673,6.41630505328916e-09,7.68510740975891e-07,10.8127183346969
"AKAP12__1371",3.34741477900219,27.2926299180476,10.5592659586285,8.70011481923933e-09,9.32447784416501e-07,10.5081471300148
"PLAT__650",1.43331846993825,24.0969469425363,10.5355088996076,8.99054337591668e-09,9.32447784416501e-07,10.4752752064112
"ICAM1__674",2.71655022658932,24.7141731893826,9.99743081270718,1.92052840190267e-08,1.90132311788364e-06,9.71410610911539
"SQSTM1__1450",3.04144712442996,24.9063826242189,9.94980173224368,2.05695831636979e-08,1.94785009263191e-06,9.64516180204989
"NASP__1096",-1.00801833817275,26.8876435145132,-9.86763216230726,2.31680819133002e-08,2.01840329628671e-06,9.52560646051013
"NAMPT__1058",1.24880408569609,26.033063556508,9.46277938209286,4.20796374969182e-08,3.52497886416491e-06,8.92502541609016
"MCM4__160",-1.22821253142754,25.8622952427132,-9.28054522861074,5.53743915116598e-08,4.30733659687125e-06,8.64830017832079
"PXN__115",1.87022920071447,24.1738102551501,9.22766115613361,6.00091154667023e-08,4.50689149953371e-06,8.56723758029204
"NT5E__876",1.45887114880928,24.2549153446748,9.13592298656237,6.90403210265517e-08,5.01232730652765e-06,8.42580191932232
"HMGA1__825",1.3953199638071,27.7892586132905,8.94128016883105,9.32584563587541e-08,6.55215864352795e-06,8.12225158519306
"ASL__661",1.99952400518362,24.1305360794462,8.88367128091036,1.020253270013e-07,6.90220230516168e-06,8.03149720116287
"SCG2__792",3.31495898981969,25.1298649197988,8.66853367516873,1.43200068520555e-07,8.66360414549357e-06,7.68884885662708
"CTSB__708",1.40089036866322,28.2099023540198,8.61253822871065,1.56553268120942e-07,9.21548697209218e-06,7.59869142500477
"PDLIM4__1129",3.02509467897,25.6116321114533,8.39148687307994,2.23428024714783e-07,1.216565594572e-05,7.2388013121546
"NPC2__254",2.89825691936145,27.0999679086445,8.2869267241201,2.64923927235813e-07,1.40732759395024e-05,7.06633593041306
"MCM3__903",-1.01812791583886,25.6729507828238,-8.25704980484596,2.78208388131402e-07,1.44270921273856e-05,7.01679021343067
"TOP2A__769",-2.22863603716164,24.2436904857756,-7.82863919075477,5.68171536562533e-07,2.69016871007217e-05,6.29320332638601
"RBP1__731",1.31647245016083,28.3960161682211,7.60857556019153,8.27525068713212e-07,3.7548949992862e-05,5.91183961702444
"MVP__1505",1.67760357123162,25.0927154729675,7.55087115318127,9.14238004112232e-07,4.06369463868661e-05,5.81074035953107
"SERPINE1__671",1.61177133878846,23.9206439724404,7.52072696481754,9.63259770888176e-07,4.1959595619889e-05,5.75774479890669
"ARHGDIB__1158",2.40515929364312,24.8692515177732,7.43000636885252,1.12805146829466e-06,4.81744332930541e-05,5.59749516854866
"GNG2__322",1.37813598300604,25.6113853016276,7.29081798207483,1.44040306120979e-06,5.50385590757004e-05,5.3494180186071
"ITGA2__828",2.18285280200506,25.7946333032652,7.26060904507969,1.51940155812132e-06,5.70561481653144e-05,5.29522152961055
"DHRS3__580",2.45017916702668,24.410771570103,7.19023208808371,1.72147692467147e-06,6.29816168448975e-05,5.16846995943425
"COTL1__1472",1.235205912802,26.9257274187852,7.18582439956221,1.73503076707707e-06,6.29816168448975e-05,5.16050864940899
"ACSL3__623",1.25416456013745,24.2023708313404,7.0850814952359,2.07713942791583e-06,7.40471572068446e-05,4.97780730156845
"ASPH__1412",1.06004700724094,24.1546969142794,7.07689617097573,2.10786214271091e-06,7.40471572068446e-05,4.96290089902495
"NCAPG__1867",-1.22185276228553,23.2158346785292,-6.95465262080921,2.62749948897345e-06,8.94170919841276e-05,4.73917296210095
"UHRF1__13",-1.63059923615579,23.3861376123828,-6.51116335801956,5.94515264947502e-06,0.000172647232940754,3.91010880598074
"FLNC__1487",1.92754989711464,26.903163607532,6.1550213233353,1.16782373927142e-05,0.000302800012396805,3.2248277464966
"PPAT__1385",-1.32237563908766,23.5317431240799,-6.10878816835171,1.27640712623756e-05,0.000327060555405342,3.13461885856447
"LAMC1__758",1.51531463088795,23.9730566455605,6.09605878344416,1.30810379687041e-05,0.000331284891812065,3.10973202607219
"BLVRB__147",1.57803890568507,23.6257718371963,6.08004786321004,1.34913338371501e-05,0.000337748564336929,3.07839925347656
"PSAT1__2163",-1.06009768627553,24.9747696621569,-6.00308974495841,1.56578737353397e-05,0.000383178078601909,2.92732609525462
"SERPINB1__965",1.38002343828258,23.7046731580506,5.98548015841771,1.62024540993306e-05,0.000387790604707055,2.89264889578588
"TYMS__663",-1.52769399956637,24.0351705245554,-5.92532914863739,1.82152087088379e-05,0.000422905389272378,2.7738956047716
"DCLK1__476",1.7394405966491,25.211357530388,5.91262600279675,1.86724135785169e-05,0.000422905389272378,2.74875681882706
"ANXA2;ANXA2P2__700",1.15667036496163,30.2073312625806,5.77795695499265,2.43167497159577e-05,0.00051419301826559,2.48099298156482
"SOD2__657",2.61887379498882,25.8760460230873,5.74721508389792,2.58365721516757e-05,0.0005410774437149,2.4195490909153
"PHYHIPL__1810",-1.37681485418523,24.7123951273912,-5.58398999471519,3.57207681118274e-05,0.000697123193636579,2.09136891370426
"PRKCA__827",-1.72132973647235,24.7253329134613,-5.51852392666582,4.07157003773304e-05,0.000764472374326083,1.95884480485055
"CNN2__202",1.06517934341505,26.3583398201803,5.49628926484281,4.25716543830899e-05,0.000785771722426863,1.91372054742183
