protein,pvalue,log2FC,adj_pvalue
ITGB1,2.038024609245983e-10,1.5879190981042477,4.438817598937751e-07
PSAP,8.460204726804485e-10,1.4521003255682778,9.213162947490085e-07
HMGA1,2.1275297881381232e-09,2.3582562171163737,1.3980286979988172e-06
ISOC1,2.567545818179646e-09,-1.8658611783091494,1.3980286979988172e-06
OCIAD2,1.6853569357310623e-08,1.4609808576602603,4.5883842575278175e-06
DHRS3,3.159607674733468e-08,3.176338544113989,6.881625515569493e-06
VIP,8.170887460731215e-08,3.0368924128140584,1.215640436572434e-05
MCM2,8.372179315237149e-08,-1.0331601929708256,1.215640436572434e-05
DUT,9.607693258132251e-08,-1.062730013454452,1.230915053894826e-05
MCM4,1.457221034319033e-07,-1.1366860536425243,1.6273425117886587e-05
MYDGF,1.569063027895401e-07,1.1973984216765956,1.6273425117886587e-05
NES,1.953053558436483e-07,1.6085638372985152,1.8494568044672433e-05
CHGB,3.599329779758623e-07,3.230287995254674,3.1357361041257124e-05
GAL,1.0295033981590187e-06,2.433748644956413,6.228495558862063e-05
HLA-A,2.180827751752055e-06,1.6018888103670008,9.884260103288554e-05
CRABP2,2.22373161185096e-06,2.516549268215325,9.884260103288554e-05
MVP,2.1786528334401885e-06,2.7152567387129416,9.884260103288554e-05
CYP26B1,2.6573651172659524e-06,1.9347366542837356,0.0001134851220667695
CTSB,3.399764528863919e-06,1.6602072152903276,0.0001346306753430112
GNG12,4.248492573530751e-06,3.2586012192077227,0.000165236014734821
ITGA1,4.437157649483204e-06,3.960040277591702,0.00016954612913288453
PLAT,4.615628731829246e-06,2.0897088873601533,0.00017004818610570478
NT5E,6.167113443126954e-06,2.5975734364610332,0.00020351474362318946
PSAT1,6.1023847880105325e-06,-1.3308001118004356,0.00020351474362318946
ASL,7.487985746994774e-06,2.330213271364361,0.0002363598979268785
SCG2,9.092324140858335e-06,2.723165178669259,0.0002750428052609646
FLNB,9.934156639150994e-06,2.693408674198139,0.00028848790880094485
CTSA,1.3453656629168688e-05,1.159809760978039,0.00036627580172911756
VAT1L,1.8532641100880687e-05,1.0726450227802786,0.00045868286724679697
PRKCA,2.7617259771630808e-05,-3.101723278154381,0.0006137795079858357
MCM3,2.873386443752276e-05,-1.0790490972770925,0.0006295647789765934
NPC2,3.128425683875724e-05,3.861714323100145,0.000648924870426793
MDC1,3.213339536117787e-05,-1.8416603729845917,0.0006602503311004284
PPAT,3.9170128774944334e-05,-1.7507277998553263,0.000735452935101972
RDH10,3.9919070649443546e-05,4.332042791150798,0.0007368113209702377
HEXB,5.1759222773499636e-05,1.4905946099973626,0.0009031829581209938
ARPC1B,5.183556922182012e-05,1.1573132222774518,0.0009031829581209938
PHYHIPL,5.386740212323526e-05,-1.9334605494030157,0.0009311365224159238
SH3BGRL3,7.462355095030492e-05,1.0436853687070027,0.0011692812515810367
TGM2,7.737021071418828e-05,4.941526465870979,0.0011798310057268247
ITGA2,7.746365189115517e-05,2.821990116273554,0.0011798310057268247
UHRF1,8.050363610274895e-05,-1.610669132765171,0.0012176174960540779
ARHGDIB,8.175308156822669e-05,2.8925311858958977,0.0012195767921616282
