protein,pvalue,log2FC,adj_pvalue
ISOC1,4.1382266046003766e-11,-1.482465292489536,9.01305754481962e-08
OCIAD2,8.327666945637638e-08,1.1525739820664782,4.0163805707664427e-05
CYP26B1,6.88606887600435e-08,2.125351320121208,4.0163805707664427e-05
FLNB,2.1412160583235541e-07,2.6638037202145384,5.8294607187858763e-05
GNG12,2.0039707815995326e-07,3.5026658717499686,5.8294607187858763e-05
DUT,1.5737367850846067e-06,-1.2146908135700158,0.00032016521975329485
CRABP2,1.3719012960010528e-06,3.3572069603715384,0.00032016521975329485
MCM6,2.228389523662353e-06,-1.075233384995606,0.00037334095250281577
HLA-A,3.3363993769094485e-06,1.515615641167976,0.0004844451895272519
ITGB1,4.0512900717644995e-06,1.1438399407160347,0.0004902060986835044
NCAPG,9.206530077234335e-06,-1.2218527622855255,0.0010025911254108193
PLAT,1.1290800326807824e-05,1.433318469938257,0.0011710172910374972
CTSB,1.219276998278617e-05,1.4008903686632195,0.0012070842282958308
ASL,2.388123837675145e-05,1.9995240051836163,0.0020005129686371022
RRM1,2.9205054742776934e-05,-1.140133426174792,0.0021934003182678677
ITGA1,3.577169227484382e-05,3.562640544824717,0.0025132498636970917
SCG2,4.0572085209165506e-05,3.31495898981969,0.002651646176740021
NASP,4.1393925624040735e-05,-1.008018338172743,0.002651646176740021
MCM3,7.459475744049867e-05,-1.0181279158388676,0.004165830300138618
MVP,7.708212206708401e-05,1.6776035712316144,0.004197121546552725
TGM2,7.927372902522113e-05,4.638085491337858,0.004197404371660612
NAMPT,8.944488229402462e-05,1.248804085696083,0.00440801017057195
MCM4,0.00010660023246561774,-1.2282125314275412,0.004570316692546955
SQSTM1,0.00010701843494944661,3.0414471244299577,0.004570316692546955
ICAM1,0.00010653702719583913,2.716550226589316,0.004570316692546955
NPC2,0.00011933607604876692,2.8982569193614474,0.0048753582371047505
RDH10,0.00012359656344264244,4.015990751569792,0.004894423912328641
NT5E,0.00014879500425455926,1.4588711488092763,0.005199292080437593
CDK1;CDC2,0.0001406638534146839,-1.1048607951356644,0.005199292080437593
ARHGDIB,0.00014154176558750265,2.4051592936431234,0.005199292080437593
DHFR,0.00015958378662183202,-1.9282717817276591,0.0053472844194207714
GNG2,0.00016870208181764352,1.3781359830060396,0.005484076629833247
ITGA2,0.00018103930114428843,2.1828528020050584,0.005632908541318002
COTL1,0.00018679510257621886,1.2352059128020016,0.005730137090295841
ACSL3,0.00021194650224110875,1.2541645601374611,0.006232342139706988
AKAP12,0.0003021085540892168,3.347414779002193,0.007152091639199068
SERPINE1,0.0003149219260682019,1.6117713387884613,0.007375268333081116
RBP1,0.0003605559175020827,1.3164724501608198,0.008046427948793775
HMGA1,0.0003690745798381944,1.395319963807097,0.008119640756440276
PXN,0.0004033050427201587,1.8702292007144727,0.008611748853377506
PSAT1,0.000411322950018181,-1.060097686275526,0.008614051780188444
TOP2A,0.00040874524191478184,-2.2286360371616354,0.008614051780188444
UHRF1,0.0006198688895509264,-1.630599236155799,0.011441308825778963
DHRS3,0.000790596471587644,2.450179167026679,0.01381070267907032
TYMS,0.000792625268541685,-1.5276939995663703,0.01381070267907032
FLNC,0.0008342217130352697,1.927549897114634,0.014420118182466805
DCTD,0.0009179127451119073,1.5987425674336642,0.015059955301617108
PDLIM4,0.0009196391437626608,3.025094678969996,0.015059955301617108
CBS,0.000899941599691888,-1.104443632148719,0.015059955301617108
ASPH,0.0010686609383193358,1.0600470072409394,0.016744917436399376
SERPINB1,0.0011068578778244045,1.380023438282585,0.016977017309165867
PHYHIPL,0.0011718662204766798,-1.3768148541852199,0.01760223881516006
ANXA2;ANXA2P2,0.0011916991232054724,1.1566703649616237,0.017777538974941907
CNN2,0.0012227891711199814,1.0651793434150427,0.017994829829049458
NEFM,0.0013629886006790825,1.2511802391944258,0.0194703623060079
PPAT,0.0015780416685857487,-1.3223756390876638,0.021228338779594243
RET,0.0016238487464878071,1.4778761182595623,0.021565503474697826
PRKCA,0.0019224732336434241,-1.7213297364723452,0.024630274722796337
GBE1,0.0019373534782579993,1.2206933754096916,0.024675765354654516
MDC1,0.0021966649881545474,-1.095480768848656,0.026728136001120693
LAMC1,0.0023106695773893243,1.51531463088795,0.0272034504840754
DCLK1,0.002358698384073874,1.739440596649107,0.02747189882627218
NRCAM,0.0027560013029866463,-1.2696401234050256,0.03094108679332431
PYGL,0.0028408792363145015,1.2115014358266265,0.031568545799454
BLVRB,0.002872697005715799,1.578038905685073,0.03164979851776439
SDF4,0.0029515619207955584,-1.0358599682147798,0.03166749686449619
IPO9,0.0032617751725689966,-1.6763908321781926,0.03351460773576226
TUBB6,0.003875802600142699,1.1702244376211333,0.038625920766817735
MTA1,0.003923018905563847,-1.3165659626182347,0.03883788716508209
FHL2,0.0041122329850181725,1.3546236172482011,0.04013049183266028
SOD2,0.004458785438692306,2.618873794988829,0.04240713836450587
H2AFX;HIST1H2AA,0.00456866725723764,-2.4805731807335576,0.043070536532856744
PDLIM5,0.004762813257233303,1.3290919592146437,0.04447490914936506
PRSS12,0.005096232571425232,1.0111761286552827,0.046636951851109894
LIG1,0.005684503588319509,-1.369089074687185,0.049064833528289366
PITRM1,0.005793434735781271,1.1829625942783544,0.04948431793601333
